,English (en)
11039,scarcely
11040,scarcity
11058,schizophrenia
11077,scold
11089,scourge
11095,scrapie
11140,secluded
11167,sedition
11180,segregate
11204,senile
11210,senseless
11219,sentence
11232,sepsis
11240,sequestration
11247,seriousness
11257,servile
11263,setback
11275,severance
11286,shack
11287,shackle
11304,shame
11305,shameful
11319,shatter
11320,shattered
11335,shell
11355,shipwreck
11359,shiver
11377,shortage
11385,shot
11399,shriek
11403,shrink
11405,shroud
11413,shun
11420,sick
11421,sickening
11423,sickly
11424,sickness
11470,sin
11473,sinful
11474,sing
11483,sinner
11493,sisterhood
11516,skid
11549,slaughter
11550,slaughterhouse
11551,slaughtering
11552,slave
11553,slavery
11555,slayer
11600,sluggish
11604,slump
11605,slur
11623,smite
11668,snort
11680,sob
11687,socialist
11703,soldier
11725,somber
11730,sonnet
11739,sordid
11740,sore
11741,sorely
11742,soreness
11745,sorrow
11746,sorrowful
11752,soulless
11770,spank
11803,specter
11810,speculation
11843,spinster
11863,splitting
11866,spoiler
11892,sprain
11908,squall
11924,stab
11934,stagnant
11973,starvation
12004,steal
12028,sterile
12043,stifled
12045,stigma
12048,stillborn
12049,stillness
12056,stingy
12059,stint
12106,strangle
12130,stretcher
12131,stricken
12139,strip
12141,stripped
12144,stroke
12150,struggle
12192,subjected
12195,subjugation
12214,subsidence
12240,subvert
12259,sue
12261,sufferer
12262,suffering
12268,suffocating
12274,suicidal
12275,suicide
12280,sullen
12303,sunk
12348,suppress
12359,surgery
12369,surrender
12370,surrendering
12421,sweetheart
12454,sympathetic
12455,sympathize
12456,sympathy
12463,syncope
12508,taint
12544,tarnish
12559,taunt
12563,tax
12571,tearful
12572,tease
12603,tempest
12639,terminal
12640,terminate
12641,termination
12649,terrible
12650,terribly
12652,terrific
12656,terrorism
12657,terrorist
12658,terrorize
12681,theft
12686,theocratic
12710,thief
12718,thirst
12735,thrash
12741,thresh
12750,throb
12801,timid
12844,tolerate
12848,tomb
12875,torment
12887,torture
12897,touchy
12898,tough
12932,tragedy
12940,traitor
12943,tramp
12993,trash
12995,traumatic
13001,travesty
13006,treachery
13013,treat
13025,tremor
13036,tribulation
13042,trickery
13064,tripping
13116,tumour
13133,turmoil
13169,tyranny
13170,tyrant
13174,ugliness
13176,ulcer
13178,ultimate
13189,unable
13190,unacceptable
13192,unaccountable
13193,unacknowledged
13207,unattainable
13209,unattractive
13214,unbearable
13215,unbeaten
13226,uncaring
13270,underpaid
13277,undertaker
13283,undesirable
13284,undesired
13298,undying
13301,uneasiness
13303,uneducated
13304,unemployed
13307,unequal
13315,unexplained
13318,unfair
13319,unfairness
13322,unfavorable
13328,unforgiving
13329,unfortunate
13330,unfriendly
13331,unfulfilled
13333,ungodly
13336,unhappiness
13337,unhappy
13339,unhealthy
13348,unimportant
13355,uninspired
13360,uninterested
13361,uninteresting
13363,uninvited
13379,unkind
13382,unlawful
13390,unlucky
13416,unpaid
13417,unpleasant
13418,unpopular
13427,unpublished
13441,unrequited
13443,unrest
13449,unsatisfied
13454,unseat
13464,unsuccessful
13480,untitled
13498,unwelcome
13499,unwell
13510,upheaval
13520,upset
13532,urn
13561,vainly
13579,vanished
13588,varicella
13602,veal
13610,vegetative
13623,vendetta
13696,victim
13697,victimized
13725,violation
13726,violence
13728,violently
13794,vote
13804,vulgarity
13805,vulnerability
13811,waffle
13816,wail
13828,wallow
13831,wan
13836,wane
13838,wanting
13846,warfare
13853,warp
13869,wasteful
13870,wasting
13891,weakly
13897,wearily
13898,weariness
13900,weary
13912,weeds
13916,weep
13917,weeping
13920,weight
13951,whimper
13954,whine
13984,widow
13985,widower
13993,wilderness
13994,wildfire
13995,willful
14002,wimpy
14003,wince
14016,winning
14030,witchcraft
14032,withdraw
14034,wither
14041,woe
14042,woeful
14043,woefully
14079,worn
14080,worried
14081,worry
14082,worrying
14083,worse
14084,worsening
14087,worthless
14090,wound
14092,wrangling
14099,wreck
14100,wrecked
14106,wretch
14107,wretched
14111,wrinkled
14121,wrongdoing
14122,wrongful
14123,wrongly
